Entity,English,French,German,Spanish,Russian,
CompnayDetails,Company Name,Company Name (French),Company Name (German),Company Name (Spanish),Company Name (Russian),
CompnayDetails,Contact First Name,Contact First Name (French),Contact First Name (German),Contact First Name (Spanish),Contact First Name (Russian),
CompnayDetails,Contact Last Name,Contact Last Name (French),Contact Last Name (German),Contact Last Name (Spanish),Contact Last Name (Russian),
CompnayDetails,Company Website,Company Website (French),Company Website (German),Company Website (Spanish),Company Website (Russian),
CompnayDetails,SQL Database,SQL Database (French),SQL Database (German),SQL Database (Spanish),SQL Database (Russian),
CompnayDetails,Database Password,Database Password (French),Database Password (German),Database Password (Spanish),Database Password (Russian),
CompnayDetails,Company Email,Company Email (French),Company Email (German),Company Email (Spanish),Company Email (Russian),
CompnayDetails,Company Email Password,Company Email Password (French),Company Email Password (German),Company Email Password (Spanish),Company Email Password (Russian),
CompnayDetails,Company Email Import Directory,Company Email Import Directory (French),Company Email Import Directory (German),Company Email Import Directory (Spanish),Company Email Import Directory (Russian),
CompnayDetails,Company Email Import Processed Directory,Company Email Import Processed Directory (French),Company Email Import Processed Directory (German),Company Email Import Processed Directory (Spanish),Company Email Import Processed Directory (Russian),
CompnayDetails,Company Telephone,Company Telephone (French),Company Telephone (German),Company Telephone (Spanish),Company Telephone (Russian),
CompnayDetails,Company Mobile,Company Mobile (French),Company Mobile (German),Company Mobile (Spanish),Company Mobile (Russian),
CompnayDetails,Company Skype,Company Skype (French),Company Skype (German),Company Skype (Spanish),Company Skype (Russian),
CompnayDetails,Company Skype,Company Skype (French),Company Skype (German),Company Skype (Spanish),Company Skype (Russian),
CompnayDetails,Company Address Street,Company Address Street (French),Company Address Street (German),Company Address Street (Spanish),Company Address Street (Russian),
CompnayDetails,Company Address Town,Company Address Town (French),Company Address Town (German),Company Address Town (Spanish),Company Address Town (Russian),
CompnayDetails,Company Address City,Company Address City (French),Company Address City (German),Company Address City (Spanish),Company Address City (Russian),
CompnayDetails,Company Address Postal Code,Company Address Postal Code (French),Company Address Postal Code (German),Company Address Postal Code (Spanish),Company Address Postal Code (Russian),
CompnayDetails,Company Address Country,Company Address Country (French),Company Address Country (German),Company Address Country (Spanish),Company Address Country (Russian),
CompnayDetails,Company Time Zone,Company Time Zone (French),Company Time Zone (German),Company Time Zone (Spanish),Company Time Zone (Russian),
CompnayDetails,Currency,Currency (French),Currency (German),Currency (Spanish),Currency (Russian),
CompnayDetails,Weather Location,Weather Location (French),Weather Location (German),Weather Location (Spanish),Weather Location (Russian),
CompnayDetails,Company Address Map Link,Company Address Map Link (French),Company Address Map Link (German),Company Address Map Link (Spanish),Company Address Map Link (Russian),
CompnayDetails,Company Address Longitude,Company Address Longitude (French),Company Address Longitude (German),Company Address Longitude (Spanish),Company Address Longitude (Russian),
CompnayDetails,Company Address Latitude,Company Address Latitude (French),Company Address Latitude (German),Company Address Latitude (Spanish),Company Address Latitude (Russian),
CompnayDetails,Company Address Instructions,Company Address Instructions (French),Company Address Instructions (German),Company Address Instructions (Spanish),Company Address Instructions (Russian),
CompnayDetails,Facebook,Facebook (French),Facebook (German),Facebook (Spanish),Facebook (Russian),
CompnayDetails,Twitter,Twitter (French),Twitter (German),Twitter (Spanish),Twitter (Russian),
CompnayDetails,Instagram,Instagram (French),Instagram (German),Instagram (Spanish),Instagram (Russian),
CompnayDetails,LinkedIn,LinkedIn (French),LinkedIn (German),LinkedIn (Spanish),LinkedIn (Russian),
CompnayDetails,Products,Products (French),Products (German),Products (Spanish),Products (Russian),
CompnayDetails,Sub Products,Sub Products (French),Sub Products (German),Sub Products (Spanish),Sub Products (Russian),
CompnayDetails,Login,Login (French),Login (German),Login (Spanish),Login (Russian),
CompnayDetails,Contact Details,Contact Details (French),Contact Details (German),Contact Details (Spanish),Contact Details (Russian),
CompnayDetails,Pricing,Pricing (French),Pricing (German),Pricing (Spanish),Pricing (Russian),
CompnayDetails,Instructions,Instructions (French),Instructions (German),Instructions (Spanish),Instructions (Russian),
CompnayDetails,T&Cs,T&Cs (French),T&Cs (German),T&Cs (Spanish),T&Cs (Russian),
CompnayDetails,Business Contacts,Business Contacts (French),Business Contacts (German),Business Contacts (Spanish),Business Contacts (Russian),
CompnayDetails,Facebook Pages,Facebook Pages (French),Facebook Pages (German),Facebook Pages (Spanish),Facebook Pages (Russian),
CompnayDetails,Competitors,Competitors (French),Competitors (German),Competitors (Spanish),Competitors (Russian),
CompnayDetails,Weather,Weather (French),Weather (German),Weather (Spanish),Weather (Russian),
CompnayDetails,Contact Details,Contact Details (French),Contact Details (German),Contact Details (Spanish),Contact Details (Russian),
CompnayDetails,Address,Address (French),Address (German),Address (Spanish),Address (Russian),
CompnayDetails,Tel numbers,Tel numbers (French),Tel numbers (German),Tel numbers (Spanish),Tel numbers (Russian),
CompnayDetails,Social Media,Social Media (French),Social Media (German),Social Media (Spanish),Social Media (Russian),
CompnayDetails,Photos only,Photos only (French),Photos only (German),Photos only (Spanish),Photos only (Russian),
CompnayDetails,Include Contact Form,Include Contact Form (French),Include Contact Form (German),Include Contact Form (Spanish),Include Contact Form (Russian),
CompnayDetails,Include QR Code,Include QR Code (French),Include QR Code (German),Include QR Code (Spanish),Include QR Code (Russian),
CompnayDetails,Multi-lingual site,Multi-lingual site (French),Multi-lingual site (German),Multi-lingual site (Spanish),Multi-lingual site (Russian),
CompnayDetails,Title Products,Title Products (French),Title Products (German),Title Products (Spanish),Title Products (Russian),
CompnayDetails,Title Sub-Products,Title Sub-Products (French),Title Sub-Products (German),Title Sub-Products (Spanish),Title Sub-Products (Russian),
CompnayDetails,Title Useful Links,Title Useful Links (French),Title Useful Links (German),Title Useful Links (Spanish),Title Useful Links (Russian),
CompnayDetails,Enable Registration,Enable Registration (French),Enable Registration (German),Enable Registration (Spanish),Enable Registration (Russian),
CompnayDetails,Registration Email,Registration Email (French),Registration Email (German),Registration Email (Spanish),Registration Email (Russian),
CompnayDetails,QR Code,QR Code (French),QR Code (German),QR Code (Spanish),QR Code (Russian),QR Code ()
CompnayDetails,Company Time Zone,Company Time Zone (French),Company Time Zone (German),Company Time Zone (Spanish),Company Time Zone (Russian),
CompnayDetails,Facebook Reviews History (months),Facebook Reviews History (months) (French),Facebook Reviews History (months) (German),Facebook Reviews History (months) (Spanish),Facebook Reviews History (months) (Russian),
CompnayDetails,Favicon Live,Favicon Live (French),Favicon Live (German),Favicon Live (Spanish),Favicon Live (Russian),
CompnayDetails,Favicon Dev,Favicon Dev (French),Favicon Dev (German),Favicon Dev (Spanish),Favicon Dev (Russian),
CompnayDetails,Status,Status (French),Status (German),Status (Spanish),Status (Russian),
CompnayDetails,Public/Private Live,Public/Private Live (French),Public/Private Live (German),Public/Private Live (Spanish),Public/Private Live (Russian),
CompnayDetails,Photo,Photo (French),Photo (German),Photo (Spanish),Photo (Russian),
CompnayDetails,Business Type,Business Type (French),Business Type (German),Business Type (Spanish),Business Type (Russian),
CompnayDetails,Business Or Person,Business Or Person (French),Business Or Person (German),Business Or Person (Spanish),Business Or Person (Russian),
CompnayDetails,First Name,First Name (French),First Name (German),First Name (Spanish),First Name (Russian),
CompnayDetails,Last Name,Last Name (French),Last Name (German),Last Name (Spanish),Last Name (Russian),
CompnayDetails,Email,Email (French),Email (German),Email (Spanish),Email (Russian),
CompnayDetails,Mobile,Mobile (French),Mobile (German),Mobile (Spanish),Mobile (Russian),
CompnayDetails,Landline,Landline (French),Landline (German),Landline (Spanish),Landline (Russian),
CompnayDetails,Company,Company (French),Company (German),Company (Spanish),Company (Russian),
CompnayDetails,Website,Website (French),Website (German),Website (Spanish),Website (Russian),
CompnayDetails,Address Street,Address Street (French),Address Street (German),Address Street (Spanish),Address Street (Russian),
CompnayDetails,Address City,Address City (French),Address City (German),Address City (Spanish),Address City (Russian),
CompnayDetails,Address County,Address County (French),Address County (German),Address County (Spanish),Address County (Russian),
CompnayDetails,Address Post Code,Address Post Code (French),Address Post Code (German),Address Post Code (Spanish),Address Post Code (Russian),
CompnayDetails,Address Country,Address Country (French),Address Country (German),Address Country (Spanish),Address Country (Russian),
CompnayDetails,Location Longitude,Location Longitude (French),Location Longitude (German),Location Longitude (Spanish),Location Longitude (Russian),
CompnayDetails,Location Latitude,Location Latitude (French),Location Latitude (German),Location Latitude (Spanish),Location Latitude (Russian),
CompnayDetails,Notes,Notes (French),Notes (German),Notes (Spanish),Notes (Russian),
