Date, Total ,Vendor,Description,Receipt,Cash or Debit, Barclays , Caxton FX ,,,,,,,,
15-May-17, 270.00 ,Shorts,Skip - green waste,emailed,Debit, 270.00 ,,,,,,,,,
15-May-17, 96.00 ,Shorts,Woodchipper ,emailed,Debit, 96.00 ,,,,,,,,,
15-May-17, 110.00 ,,Labourers x2,Yes,Cash, 110.00 ,,,,,,,,,
22-May-17, 270.00 ,Shorts,Skip - building waste,emailed,Debit, 270.00 ,,,,,,,,,
05-Jun-17, 54.00 ,Control Services Pest Management & Timber Care,Woodworm Survey,Email,Debit, 54.00 ,,,,,,,,,
12-Jun-17," 1,350.00 ",,Charlie Boher - Planning,Cash receipt,Cash," 1,350.00 ",,,,,,,,,
24-Jul-17, 340.00 ,,Labourers x 4,Yes,Cash, 340.00 ,,,,,,,,,
31-Jul-17, 270.00 ,Shorts,Skip,Emailed,Debit, 270.00 ,,,,,,,,,
31-Jul-17, 435.37 ,BFC,Council Tax x 3 months,Emailed,Debit, 435.37 ,,,,,,,,,
31-Jul-17, 100.00 ,,Labourer x 1,Yes,Cash, 100.00 ,,,,,,,,,
31-Jul-17, 40.00 ,Ascot Tool Hire,Tool Hire,Yes,Cash, 40.00 ,,,,,,,,,
31-Jul-17, 300.00 ,Shorts,Grab Lorry,Emailed,MasterCard,, 300.00 ,,,,,,,,
31-Jul-17, 880.00 ,,Labourer x 10,Yes,Cash, 880.00 ,,,,,,,,,
31-Jul-17, 60.00 ,shorts Tool Hire,Tool Hire - Strippers,No,Cash, 60.00 ,,,,,,,,,
07-Aug-17, 270.00 ,Shorts,Skip,Emailed,Mastercard,, 270.00 ,,,,,,,,
07-Aug-17, 124.99 ,Currys,Henry Hoover,Emailed,Debit, 124.99 ,,,,,,,,,
07-Aug-17, 289.00 ,HPS,Loo,Yes,Mastercard,, 289.00 ,,,,,,,,
07-Aug-17, 180.00 ,,Labour x 2,Yes,Debit, 180.00 ,,,,,,,,,
15-Aug-17," 4,198.54 ",Ben Lowe,Windows,Yes,CC,," 4,198.54 ",,,,,,,,
04-Sep-17, 55.62 ,Windsor Heating Supplies,Mains water pipe,Yes,DD, 55.62 ,,,,,,,,,
04-Sep-17, 56.15 ,Crowthorne,Building supplies,Yes,DD, 56.15 ,,,,,,,,,
04-Sep-17, 366.45 ,Crowthorne,Shingle,Yes,DD, 366.45 ,,,,,,,,,
04-Sep-17, 20.79 ,British Gas,Gas Bill ,Yes,DD, 20.79 ,,,,,,,,,
04-Sep-17, 50.00 ,,Labour x 2,Yes,Cash, 50.00 ,,,,,,,,,
04-Sep-17, 250.00 ,,Labour x  1,Yes,Cash, 250.00 ,,,,,,,,,
11-Sep-17, 287.03 ,Crowthorne,Railway Sleepers,Yes,DD, 287.03 ,,,,,,,,,
11-Sep-17, 270.00 ,Shorts,Skip,,DD, 270.00 ,,,,,,,,,
11-Sep-17, 523.24 ,,Labour & petrol,,Cash, 523.24 ,,,,,,,,,
18-Sep-17, 336.00 ,Shorts,Grabber,Yes,DD, 336.00 ,,,,,,,,,
18-Sep-17, 44.03 ,Southern Electric,Electricity,Yes,DD, 44.03 ,,,,,,,,,
18-Sep-17, 896.40 ,365 Concrete,Concrete,Yes,CC,, 896.40 ,,,,,,,,
18-Sep-17, 100.00 ,,Labour x 1 m,Yes,cash, 100.00 ,,,,,,,,,
18-Sep-17, 78.98 ,Direct Glazing,Glass,Yes,DD, 78.98 ,,,,,,,,,
18-Sep-17, 120.00 ,Base Energy,Energy Report,Yes,TT, 120.00 ,,,,,,,,,
18-Sep-17, 160.00 ,,Labour x 2,Yes,Cash, 160.00 ,,,,,,,,,
18-Sep-17, 16.70 ,Crowthorne,Materials,Yes,DD, 16.70 ,,,,,,,,,
25-Sep-17, 20.05 ,Esso,Diesel,Yes,DD, 20.05 ,,,,,,,,,
25-Sep-17, 950.00 ,Structural Engineer,Shami Dhuma,No,TT, 950.00 ,,,,,,,,,
25-Sep-17," 1,140.00 ",,Wages x 9,Yes,Cash," 1,140.00 ",,,,,,,,,
25-Sep-17, 360.00 ,Shorts,Grabber Lorry,Yes,CC,, 360.00 ,,,,,,,,
02-Oct-17, 50.00 ,,Labour x 1,Yes,Cash, 50.00 ,,,,,,,,,
02-Oct-17, 288.00 ,Biocraft,Woodworm,Yes,DD, 288.00 ,,,,,,,,,
02-Oct-17, 280.00 ,,Labour x  3,Yes,Cash, 280.00 ,,,,,,,,,
02-Oct-17, 480.00 ,Lee Hotchkitch,Brick layers,Yes,Cash, 480.00 ,,,,,,,,,
02-Oct-17, 183.75 ,Shorts,Digger,Yes,DD, 183.75 ,,,,,,,,,
02-Oct-17, 835.71 ,SD-crowthorn,Materials,Yes,Cash, 835.71 ,,,,,,,,,
02-Oct-17, 32.83 ,Travis Perkins,Lintel,Yes,DD, 32.83 ,,,,,,,,,
02-Oct-17, 536.58 ,Travis Perkins,Cement & Brick,Yes,DD, 536.58 ,,,,,,,,,
09-Oct-17," 3,000.00 ",HPS,Bathroom,Yes,CC,," 3,000.00 ",,,,,,,,
09-Oct-17," 2,621.29 ",HPS,Bathroom,Yes,DD," 2,621.29 ",,,,,,,,,
09-Oct-17, 97.49 ,Crowthorne,Sharp Sand& Shingle,Yes,DD, 97.49 ,,,,,,,,,
09-Oct-17, 100.00 ,,Labour,,Cash, 100.00 ,,,,,,,,,
16-Oct-17, 150.00 ,,Labour x 2,Yes,Cash, 150.00 ,,,,,,,,,
16-Oct-17, 134.45 ,Victorian Plumbing,En suite Basin,Yes,DD, 134.45 ,,,,,,,,,
23-Oct-17," 3,947.37 ",Ben Lowe,Windows ,Yes,DD," 3,947.37 ",,,,,,,,,
23-Oct-17, 432.00 ,Biocraft,Woodworm,Yes,DD, 432.00 ,,,,,,,,,
23-Oct-17, 260.00 ,,Crowthorn,Yes,Cash, 260.00 ,,,,,,,,,
23-Oct-17, 432.00 ,BFC,Council Tax x 3 months,Yes,DD, 432.00 ,,,,,,,,,
30-Oct-17, 197.01 ,Towergate,Building Insurance,Yes,DD, 197.01 ,,,,,,,,,
30-Oct-17, 200.00 ,,Labour x 2,Yes,Cash, 200.00 ,,,,,,,,,
30-Oct-17," 2,000.00 ",PM,Electrian first fix,No,Cash," 2,000.00 ",,,,,,,,,
30-Oct-17, 500.00 ,Howdens,Kitchen Deposit,Yes,DD, 500.00 ,,,,,,,,,
30-Oct-17," 1,300.00 ",,Labour x 10,Yes,Cash," 1,300.00 ",,,,,,,,,
06-Nov-17," 5,000.00 ",Gibson Heating,Plumbing 1st fix,??,Cash," 5,000.00 ",,,,,,,,,
06-Nov-17," 1,484.80 ",Mark Painter,Mateials ground work,Yes,Cash," 1,484.80 ",,,,,,,,,
13-Nov-17, 70.00 ,,Brickie Lee H,No,Cash, 70.00 ,,,,,,,,,
13-Nov-17," 4,122.00 ",TV Windows,Sliding Door & Roof Light,No,DD," 4,122.00 ",,,,,,,,,
13-Nov-17, 50.00 ,,Steels extra,,cash, 50.00 ,,,,,,,,,
13-Nov-17," 1,555.05 ",Travis Perkins,Blocks external Walls,Yes,DD," 1,555.05 ",,,,,,,,,
13-Nov-17, 653.88 ,,Materials,Yes,Cash, 653.88 ,,,,,,,,,
20-Nov-17," 2,259.84 ",The Windsor Reclaim,Bricks,,DD," 2,259.84 ",,,,,,,,,
20-Nov-17, 200.00 ,,Wages x 2,No,cash, 200.00 ,,,,,,,,,
20-Nov-17, 270.00 ,Shorts,Skip,Yes,DD, 270.00 ,,,,,,,,,
20-Nov-17, 862.80 ,365 Concrete Ltd,Concrete,No,DD, 862.80 ,,,,,,,,,
20-Nov-17, 240.00 ,,Labour x2,Yes,cash, 240.00 ,,,,,,,,,
20-Nov-17, 240.00 ,,Materials,Yes,Cash, 240.00 ,,,,,,,,,
20-Nov-17, 120.00 ,Base Energy,Energy report,Yes,DD, 120.00 ,,,,,,,,,
20-Nov-17," 2,200.00 ",,Labour inc chippie,Yes,Cash," 2,200.00 ",,,,,,,,,
27-Nov-17, 180.00 ,,Labour Lee      h,yes,Cash, 180.00 ,,,,,,,,,
27-Nov-17, 200.00 ,,Labour x 2 Serg,Yes,Cash, 200.00 ,,,,,,,,,
27-Nov-17, 100.00 ,,labour,No,Cash, 100.00 ,,,,,,,,,
27-Nov-17," 2,259.84 ",Windsor Reclamation,Bricks,Yes,DD," 2,259.84 ",,,,,,,,,
27-Nov-17, 200.00 ,,Labour,Yes,Cash, 200.00 ,,,,,,,,,
27-Nov-17," 2,000.00 ",,Wages,Yes,Cash," 2,000.00 ",,,,,,,,,
27-Nov-17," 1,000.00 ",,Scaffolding,Yes,cash," 1,000.00 ",,,,,,,,,
27-Nov-17," 3,150.00 ",,Steel,Yes,Cash," 3,150.00 ",,,,,,,,,
04-Dec-17, 312.00 ,Thames Valley Windows,Sliding Door & Roof Light,,TT, 312.00 ,,,,,,,,,
